SIN,nmol_T_g,nmol_T_g_dw_corrected,nmol_T_egg,g_egg,pct_moisture,pct_lipid_wet,year,site,group,WH_hatchery_id,USGS_id
PIST23_154,10.4122075,23.9538364,1.213891036,0.117416667,56.53219248,16.92936581,2023,PIST,Entry,NA,NA
PIST23_155,10.68070706,NA,1.360219042,0.1274,NA,NA,2023,PIST,Entry,NA,NA
RARA23_004,8.695728123,19.01222165,0.807544904,0.092775,54.26243032,16.58615033,2023,RARA,Transit,NA,NA
RARA23_005,9.565638367,20.30943032,1.535367334,0.160242857,52.90050869,16.97858185,2023,RARA,Transit,NA,NA
RARA23_006,9.484275869,20.24453002,1.118668915,0.118555556,53.15141492,22.15924798,2023,RARA,Transit,NA,NA
RARA23_009,9.670610283,20.68611055,0.536355835,0.05735,53.25070771,20.45081609,2023,RARA,Transit,NA,NA
RARA23_011,12.76598826,26.69938517,1.449058399,0.113471429,52.18620885,20.71626264,2023,RARA,Transit,NA,NA
RARA23_015,6.73522585,14.91588651,0.764793883,0.11325,54.84528629,15.85041317,2023,RARA,Transit,NA,NA
RARA23_016,8.962355791,19.35471513,1.347526258,0.150375,53.69419941,16.65411191,2023,RARA,Transit,NA,NA
RARA23_017,9.524815672,22.03958825,0.993133701,0.1045,56.78315056,20.90536432,2023,RARA,Transit,NA,NA
RARA23_023,10.09851338,23.46895373,1.047225226,0.103777778,56.97075593,21.97988983,2023,RARA,Transit,NA,NA
RARA23_024,4.92935919,10.84708963,0.632975508,0.128355556,54.5559283,21.98037311,2023,RARA,Transit,NA,NA
RARA23_032,5.015694925,11.81184338,0.503072515,0.102297619,57.53673018,17.78272657,2023,RARA,Transit,NA,NA
RARA23_034,8.716961084,NA,0.924814914,0.10505,NA,NA,2023,RARA,Transit,NA,NA
RARA23_038,5.567303389,12.3163643,0.454717234,0.081208333,54.7975096,13.7276233,2023,RARA,Transit,NA,NA
RARA23_042,5.407366911,11.83632956,0.619772103,0.11475,54.31550901,17.05131527,2023,RARA,Transit,NA,NA
RARA23_045,8.024235439,17.99805891,0.909230644,0.112783333,55.41610638,20.26651132,2023,RARA,Transit,NA,NA
RARA23_049,6.946245026,14.84609992,0.895543082,0.1287,53.21165111,19.83845906,2023,RARA,Transit,NA,NA
RARA23_050,9.497372632,19.61304847,0.898448786,0.094511905,51.57625472,20.28751515,2023,RARA,Transit,NA,NA
RARA23_067,5.096071683,10.95648196,0.635896057,0.125433333,53.48806578,18.92680473,2023,RARA,Transit,NA,NA
RARA23_073,6.557964002,14.03360763,0.656535587,0.100857143,53.26957846,18.86167719,2023,RARA,Transit,NA,NA
RARA23_080,4.491275446,9.755846246,0.417585674,0.092916667,53.96324078,19.7249841,2023,RARA,Transit,NA,NA
RARA23_087,10.48379719,22.75428365,0.962318304,0.091783333,53.92605038,18.51989177,2023,RARA,Transit,NA,NA
RARA23_088,6.754882487,NA,0.630518728,0.0932625,NA,NA,2023,RARA,Transit,NA,NA
RARA23_089,10.61049872,NA,0.975852873,0.09225,NA,NA,2023,RARA,Transit,NA,NA
RARA23_090,8.159156984,NA,1.09555096,0.141166667,NA,NA,2023,RARA,Transit,NA,NA
RARA23_107,10.04153082,NA,0.846685311,0.084388889,NA,NA,2023,RARA,Transit,NA,NA
RARA23_109,6.419307794,NA,0.642069683,0.0993125,NA,NA,2023,RARA,Transit,NA,NA
RARA23_114,3.829590745,NA,0.406304372,0.106966667,NA,NA,2023,RARA,Transit,NA,NA
RARA23_115,5.076186662,NA,0.698529521,0.136020833,NA,NA,2023,RARA,Transit,NA,NA
RARA23_117,7.434443643,NA,0.743042744,0.099971429,NA,NA,2023,RARA,Transit,NA,NA
RARA23_119,7.197596746,NA,0.769616485,0.106857143,NA,NA,2023,RARA,Transit,NA,NA
RARA23_122,7.914886803,NA,0.892938146,0.1153625,NA,NA,2023,RARA,Transit,NA,NA
RARA23_126,7.022022141,NA,1.388745186,0.197933333,NA,NA,2023,RARA,Transit,NA,NA
RARA23_139,10.77910843,23.20362295,1.036572536,0.096214286,53.54558014,22.17266562,2023,RARA,Transit,NA,NA
