ID,Site,Species,Date,Samplers,Fish Death Time,Blood Drawing Time,Harvest Gear Type,Latitude (N),Longitude (W),Fish ID,specimen_ID,Blood Vial Num,Muscle Vial Num (Vanessa),Muscle Bag Num (PSP - Bruce),Scale Card Num,Pelvic Fin Card,Adipose Fin,Length Mideye Fork (mm),Length Nose Fork (mm),Ich Visual Positive,Ich Visual Count,Photo Taken,Heart Vial Num qPCR,Heart Vial Num Histo,Liver Bag Num,Kidney Bag Num,Egg Vial 1 Num,Egg Vial 2 Num,Digestive Track Bag Num,Sex,Notes,Blood Notes at Fort Yukon
36,Rapids,Chinook,7/10/2023,"Scott T. Walter, Woods Nystedt",9:48 AM,9:49 AM,Fish Wheel,65.338488,-151.065382,46,46-R,46,46,,007-7,77588-7,Yes,641,702,Yes,104,Yes,46,46,,,,,,Male,-,
37,Rapids,Chinook,7/10/2023,"Scott T. Walter, Woods Nystedt",9:52 AM,9:55 AM,Fish Wheel,65.338488,-151.065382,47,47-R,47,47,,007-8,77588-8,Yes,666,740,No,0,Yes,47,47,,,,,,Male,-,
38,Rapids,Chinook,7/10/2023,"Scott T. Walter, Woods Nystedt",10:03 AM,10:06 AM,Fish Wheel,65.338488,-151.065382,48,48-R,48,48,,007-9,77588-9,Yes,594,645,Yes,13,Yes,48,48,,,,,,Male,-,
41,Rapids,Chinook,7/11/2023,"Scott T. Walter, Woods Nystedt",10:10 AM,10:11 AM,Fish Wheel,65.338488,-151.065382,51,51-R,51,51,,008-3,77592-3,Yes,893,985,No,0,Yes,51,51,,,,,,Male,Heaviest so far - weight = 27.75 lbs,
42,Rapids,Chinook,7/11/2023,"Scott T. Walter, Woods Nystedt",10:55 AM,11:06 AM,Fish Wheel,65.338488,-151.065382,52,52-R,52,52,,008-4,77592-4,Yes,690,750,Yes,150,Yes,52,52,,,,,,Male,1 quarter-sized lesion,
43,Rapids,Chinook,7/11/2023,"Scott T. Walter, Woods Nystedt",10:55 AM,11:13 AM,Fish Wheel,65.338488,-151.065382,53,53-R,53,53,,008-5,77592-5,Yes,726,790,No,0,Yes,53,53,,,,,,Male,-,
44,Rapids,Chinook,7/11/2023,"Scott T. Walter, Woods Nystedt",10:55 AM,11:16 AM,Fish Wheel,65.338488,-151.065382,54,54-R,54,54,,008-6,77592-6,Yes,658,720,Yes,97,Yes,54,54,,,,,,Male,"Left pelvic fin missing, Handful older scars, Fin clip taken from right pelvic fin",
45,Rapids,Chinook,7/11/2023,"Scott T. Walter, Woods Nystedt",10:55 AM,11:21 AM,Fish Wheel,65.338488,-151.065382,55,55-R,55,55,,008-7,77592-7,Yes,650,710,Yes,47,Yes,55,55,,,,,,Male,1 quarter-sized lesion,
46,Rapids,Chinook,7/11/2023,"Scott T. Walter, Woods Nystedt",9:09 AM,9:10 AM,Fish Wheel,65.338488,-151.065382,56,56-R,56,56,,008-8,77592-8,Yes,780,855,Yes,15,Yes,56,56,,,,,,Male,1 quarter-sized lesion,
47,Rapids,Chinook,7/11/2023,"Scott T. Walter, Woods Nystedt",9:14 AM,9:18 AM,Fish Wheel,65.338488,-151.065382,57,57-R,57,57,,008-9,77592-9,Yes,667,715,Yes,14,Yes,57,57,,,,,,Male,Unusually dark bruise-like areas on heart,
48,Rapids,Chinook,7/12/2023,"Scott T. Walter, Woods Nystedt",9:33 AM,9:35 AM,Fish Wheel,65.338488,-151.065382,58,58-R,58,58,,009-1,77579-1,Yes,754,825,Yes,70,Yes,58,58,,,,,,Male,-,
49,Rapids,Chinook,7/12/2023,"Scott T. Walter, Woods Nystedt",9:38 AM,9:39 AM,Fish Wheel,65.338488,-151.065382,59,59-R,59,59,,009-2,77579-2,Yes,632,689,No,0,Yes,59,59,,,,,,Male,-,
