SIN,nmol_T_g,nmol_T_g_dw_corrected,nmol_T_egg,g_egg,pct_moisture,pct_lipid_wet,year,site,group,pct_dry_matter,pct_lipid_dry,pct_protein_est_dry,lipid_g,water_g,protein_g_est,country,broad_group,fine_group,fish_mass_kg,girth_mm,lat_n,long_w,length_nose_fork_mm,ich_visual_count,ich_visual_positive,collection_date,length_mideye_fork_mm
FOYU23_077,8.748546158,18.72257022,1.428414698,0.158,0.532727288,0.17740261,2023,FOYU,Transit,0.467272712,0.379655403,0.620344597,0.028029612,0.084170912,0.045799476,NA,NA,Canada,NA,NA,66.561473,-145.359862,898,0,FALSE,7/27/2023,832
FOYU23_078A,4.959442457,10.84307827,0.827404451,0.167285714,0.542616743,0.158575876,2023,FOYU,Transit,0.457383257,0.346702406,0.653297594,0.026527479,0.090772029,0.049986206,NA,NA,Canada,NA,NA,NA,NA,NA,NA,NA,NA,NA
FOYU23_083,6.83815445,14.79282263,0.961750506,0.1425,0.53773836,0.170963788,2023,FOYU,Transit,0.46226164,0.369842039,0.630157961,0.02436234,0.076627716,0.041509944,NA,NA,Canada,NA,NA,66.561473,-145.359862,922,0,FALSE,8/2/2023,864
FOYU23_086,8.091919242,17.11187066,0.908859339,0.111533333,0.52711662,0.187238927,2023,FOYU,Transit,0.47288338,0.395951592,0.604048408,0.020883382,0.058791074,0.031858878,NA,NA,Canada,NA,NA,66.561473,-145.359862,866,0,FALSE,8/3/2023,798
FOYU23_087,8.836751021,19.47793602,1.041833145,0.1213,0.546319948,0.175259897,2023,FOYU,Transit,0.453680052,0.386307258,0.613692742,0.021259026,0.06626861,0.033772365,NA,NA,Canada,NA,NA,66.561473,-145.359862,762,0,FALSE,8/3/2023,714
PIST23 _101,14.01164709,30.77371345,1.071979942,0.0765,0.544687803,0.193545963,2023,PIST,Entry,0.455312197,0.425084072,0.574915928,0.014806266,0.041668617,0.020025117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIST23_004,7.172069877,NA,0.430783509,0.060395833,NA,NA,2023,PIST,Entry,NA,NA,NA,NA,NA,NA,US,MiddleYukon,Tanana,NA,NA,NA,NA,NA,NA,NA,6/12/2023,580
PIST23_013,9.126462413,NA,0.418548447,0.04595,NA,NA,2023,PIST,Entry,NA,NA,NA,NA,NA,NA,US,MiddleYukon,Tanana,NA,NA,NA,NA,NA,NA,NA,6/16/2023,646
PIST23_016,9.163139572,20.62344402,0.422699887,0.04568254,0.555693047,0.233807483,2023,PIST,Entry,0.444306953,0.526229629,0.473770371,0.01068092,0.02538547,0.00961615,US,MiddleYukon,Tanana,3.515,363,NA,NA,NA,NA,NA,6/17/2023,635
PIST23_017,8.926145111,19.66473894,0.854351689,0.09565,0.546083722,0.201096215,2023,PIST,Entry,0.453916278,0.443024902,0.556975098,0.019234853,0.052232908,0.024182239,US,MiddleYukon,Tanana,NA,NA,NA,NA,NA,NA,NA,6/17/2023,757
